payment_id,amount,attempt_number,checkout_started,checkout_duration_seconds,customer_age_days,lifetime_value,successful_payments,failed_payments,previous_recoveries,contact_opted_out,failure_rate,recovery_history_rate,high_value_customer,high_amount,multiple_attempt,recovery_success
PAY_00001,37654.05,2,0,158,70,97953.22,27,1,1,0,0.034482758620689655,0.5,1,1,1,1
PAY_00003,48636.53,2,0,458,877,99305.38,47,5,5,1,0.09433962264150944,0.8333333333333334,1,1,1,1
PAY_00004,35006.51,3,1,93,593,48276.65,17,4,3,0,0.18181818181818182,0.6,0,1,1,0
PAY_00005,2641.64,3,0,272,919,80781.06,47,2,2,0,0.04,0.6666666666666666,1,0,1,1
PAY_00007,3726.65,3,1,304,862,89355.63,38,3,2,0,0.07142857142857142,0.5,1,0,1,1
PAY_00009,42173.83,2,1,330,870,18624.66,22,2,1,1,0.08,0.3333333333333333,0,1,1,0
PAY_00010,39767.87,1,0,131,576,88723.51,23,0,5,0,0.0,5.0,1,1,0,1
PAY_00011,4248.37,3,0,397,1447,28154.78,50,3,5,0,0.05555555555555555,1.25,0,0,1,0
PAY_00012,29031.61,2,1,248,975,27366.74,38,8,0,0,0.1702127659574468,0.0,0,1,1,0
PAY_00014,20698.43,2,0,421,462,91937.28,21,2,1,0,0.08333333333333333,0.3333333333333333,1,0,1,1
PAY_00017,40246.08,2,1,282,325,74347.47,12,0,3,0,0.0,3.0,1,1,1,1
PAY_00018,43182.28,2,1,150,206,70090.59,24,2,5,0,0.07407407407407407,1.6666666666666667,1,1,1,1
PAY_00019,4225.67,1,1,227,1354,46101.12,15,0,3,0,0.0,3.0,0,0,0,1
PAY_00020,26958.07,1,1,339,1447,28154.78,50,3,5,0,0.05555555555555555,1.25,0,1,0,1
PAY_00021,42979.98,1,1,540,531,45043.47,22,3,2,1,0.11538461538461539,0.5,0,1,0,0
PAY_00026,32579.58,2,1,355,462,91937.28,21,2,1,0,0.08333333333333333,0.3333333333333333,1,1,1,1
PAY_00027,31556.59,3,0,75,144,42122.85,45,8,0,1,0.14814814814814814,0.0,0,1,1,0
PAY_00029,5131.45,2,1,132,1276,56084.84,17,2,4,0,0.1,1.3333333333333333,1,0,1,1
PAY_00030,11118.26,2,0,390,462,91937.28,21,2,1,0,0.08333333333333333,0.3333333333333333,1,0,1,1
PAY_00031,20252.52,2,0,419,1115,14055.21,25,1,2,0,0.037037037037037035,1.0,0,0,1,1
PAY_00032,44710.99,1,1,531,409,8147.0,12,0,0,1,0.0,0.0,0,1,0,0
PAY_00033,37951.83,1,1,44,72,42941.72,15,4,5,0,0.2,1.0,0,1,0,1
PAY_00034,14479.04,3,1,112,200,12783.22,26,2,4,0,0.06896551724137931,1.3333333333333333,0,0,1,1
PAY_00035,30704.7,2,0,461,340,45239.98,42,8,2,0,0.1568627450980392,0.2222222222222222,0,1,1,0
PAY_00038,1105.4,2,1,233,1396,81326.59,20,3,3,0,0.125,0.75,1,0,1,1
PAY_00039,21252.39,3,1,131,1393,49098.21,26,5,2,0,0.15625,0.3333333333333333,0,0,1,0
PAY_00040,22536.99,3,1,332,390,63225.62,10,2,0,0,0.15384615384615385,0.0,1,0,1,0
PAY_00041,25125.25,3,0,428,1290,94340.82,41,7,4,0,0.14285714285714285,0.5,1,0,1,0
PAY_00044,7985.96,1,0,322,236,32279.42,23,0,0,0,0.0,0.0,0,0,0,0
PAY_00045,14257.68,2,0,11,280,10026.73,6,4,5,0,0.36363636363636365,1.0,0,0,1,1
PAY_00046,42155.67,1,0,169,354,50898.88,27,7,3,1,0.2,0.375,1,1,0,0
PAY_00047,23768.29,2,1,42,1354,46101.12,15,0,3,0,0.0,3.0,0,0,1,1
PAY_00048,16197.91,3,0,74,732,78389.87,2,3,3,0,0.5,0.75,1,0,1,0
PAY_00049,17958.19,2,0,91,285,20184.3,36,5,0,0,0.11904761904761904,0.0,0,0,1,0
PAY_00050,48070.21,2,0,581,409,74256.02,17,4,0,0,0.18181818181818182,0.0,1,1,1,0
